benchmark,trial_index,average_time,normalized_time,seed_time,proposal_kind,return_code,bw_scale,ipc_scale,mpki_scale,llc_mpki_scale,mem_bound_scale,queue_scale,dup_rate_scale,max_dup_scale,dtlb_mpki_scale,bias,score_margin,consecutive_votes_required,consecutive_votes_required_weak
502,1,663,1,663,seed,0,3200,1.3,3,2.7,35,64,0.18,3,1,-0.05,0.2,2,3
502,2,651,0.9819004525,663,local-mutate,0,3959.412656,1.054033959,3.803589654,2.141968547,39.34530403,76.24379241,0.1022258367,2.13195059,0.9844614325,-0.06044944547,0.2222585519,1,3
502,3,658,0.9924585219,663,local-mutate,0,3417.813327,0.8766248159,3.217011436,1.716734618,35.39146133,59.91984172,0.07364994858,2.210702201,1.208836856,-0.06425825822,0.1990870615,2,3
502,4,640,0.9653092006,663,local-mutate,0,2772.832429,1.227032871,2.55167003,2.168235104,34.24105974,80.64018152,0.1361202048,2.294690147,1.235644923,-0.06142952446,0.2065130463,2,3
502,5,649,0.9788838612,663,local-mutate,0,2517.597113,0.8934612128,2.274618432,1.600087876,25.78770461,72.86511424,0.09954127847,2.101237632,1.528277511,-0.06809645401,0.1454452991,2,3
502,6,659,0.9939668175,663,global-random,0,7489.824989,4.010631521,16.87711254,10.4872483,23.36717535,250.7865681,1.232737118,13.29099065,4.480860631,0.4072573668,0.809379871,4,5
502,7,694,1.046757164,663,local-mutate,0,2450.48502,1.208895644,2.445157836,2.442515446,31.91439357,87.4543784,0.07279275017,2.63421422,1.225307466,-0.05569100878,0.2377970689,3,4
502,8,667,1.006033183,663,global-random,0,3262.311458,0.4108315219,12.88800083,9.512887046,36.50080753,148.1351558,1.412802037,4.450363414,2.190073192,1.68810103,0.8293768129,2,3
502,9,691,1.042232278,663,local-mutate,0,2531.485206,1.290651505,2.225012717,2.763173747,40.91271389,100.690437,0.1024241331,2.2769201,1.041344178,-0.06958612714,0.1757134491,3,4
502,10,670,1.010558069,663,global-random,0,4538.768007,3.915351306,5.298127661,17.50672306,47.36689695,200.5173705,1.328116206,7.670423822,8.493265259,-0.3243045941,0.7814917028,1,3
502,11,629,0.9487179487,663,local-mutate,1,3430.871192,0.9948725498,3.235168576,1.720107923,38.49214016,96.06739469,0.07730556569,1.630722004,1.216444771,-0.07426761378,0.2294964531,1,4
502,12,626,0.9441930618,663,local-mutate,1,2961.569884,0.9551930605,2.874926294,1.559626859,35.51999151,93.00340913,0.07468515604,1.41865919,0.8168897046,-0.09206031711,0.2034030265,2,4
502,13,629,0.9487179487,663,local-mutate,1,3278.28676,0.7824227152,3.091652281,1.275941296,34.91931203,99.07581193,0.007708787877,1.484582107,0.5973386085,-0.1006518576,0.2280165154,3,5
502,14,628,0.9472096531,663,local-mutate,1,3833.881086,1.085927838,2.857121855,1.377742253,37.70143263,141.0756812,0.1100559043,1,0.817291618,-0.09419115199,0.181997011,2,5
502,15,637,0.9607843137,663,local-mutate,1,2541.699284,0.4168176703,3.080875213,1.7418461,31.07745984,69.24717259,0.1074259902,1.263436437,1.109302183,-0.08157646484,0.179757011,2,4
502,16,633,0.9547511312,663,rf-surrogate,1,3389.203519,0.9787968841,2.807886747,1.526847336,36.20513189,115.2701043,0.07556261654,1.568506379,1.029821631,-0.11766129,0.2087121035,1,5
502,17,630,0.9502262443,663,rf-surrogate,1,3516.63665,0.7752999659,2.89599628,1.468860045,38.77227724,107.9061815,0.08256556306,1.29577969,0.6762505549,-0.1287587068,0.2155784427,3,4
502,18,629,0.9487179487,663,rf-surrogate,1,3679.389517,0.7678206374,2.692030714,1.208977167,39.06616554,90.80881089,0.07925011959,1.24360366,0.5778830805,-0.106793478,0.1989455339,2,5
502,19,632,0.9532428356,663,rf-surrogate,1,2906.136189,0.910777048,3.023985297,1.390135494,41.14866275,120.4466892,0.07578898396,1.482691258,0.873944916,-0.09035921055,0.1902161006,3,5
502,20,630,0.9502262443,663,rf-surrogate,1,2582.294152,1.078379912,2.627028094,1.252810918,37.44910065,98.11042889,0.04470004931,1.060419286,0.8123600034,-0.08550270325,0.2154990085,2,5
505,1,814,1,814,seed,0,1500,1.7,1.5,1.2,25,28,0.1,2,0.8,0.05,0.15,2,3
505,2,805,0.9889434889,814,local-mutate,0,1855.974682,1.3783521,1.901794827,0.9519860207,28.10378859,33.35665918,0.05679213149,1.421300393,0.787569146,0.03955055453,0.1666939139,1,3
505,3,803,0.9864864865,814,local-mutate,0,1602.099997,1.146355528,1.608505718,0.7629931635,25.27961524,26.21493075,0.0409166381,1.473801467,0.9670694846,0.03705854397,0.1493152961,2,3
505,4,809,0.9938574939,814,local-mutate,0,1121.973185,1.334507207,1.079079555,0.772349605,22.00010489,27.72654281,0.0544831066,1.586302103,1.213815453,0.03645770636,0.1387373237,3,4
505,5,804,0.9877149877,814,local-mutate,0,1454.628951,0.8347161882,1.433859673,0.5630644519,19.03864119,23.68737133,0.02992130723,1.349553494,1.196096481,0.03303659029,0.105161433,2,3
505,6,800,0.9828009828,814,global-random,0,7489.824989,4.010631521,16.87711254,10.4872483,23.36717535,250.7865681,1.232737118,13.29099065,4.480860631,0.4072573668,0.809379871,4,5
505,7,807,0.9914004914,814,local-mutate,0,6619.117602,3.951348893,16.17262557,11.81387844,21.77938523,256,0.6592285488,15.25753558,4.443373562,0.4453018219,0.931990324,5,6
505,8,812,0.9975429975,814,global-random,0,3262.311458,0.4108315219,12.88800083,9.512887046,36.50080753,148.1351558,1.412802037,4.450363414,2.190073192,1.68810103,0.8293768129,2,3
505,9,801,0.984029484,814,local-mutate,0,6837.910923,4.218572894,14.71655409,13.36482798,27.92012183,256,0.9275774369,13.18806541,3.776261322,0.3531817971,0.6886680104,5,6
505,10,814,1,814,global-random,0,4538.768007,3.915351306,5.298127661,17.50672306,47.36689695,200.5173705,1.328116206,7.670423822,8.493265259,-0.3243045941,0.7814917028,1,3
505,11,808,0.9926289926,814,local-mutate,1,8000,3.2518014,20,8.319761479,26.26824624,256,0.7000976851,9.445245117,4.411234476,0.3221450939,0.8994579903,3,6
505,12,808,0.9926289926,814,local-mutate,1,6465.308339,3.850671524,14.99781339,9.508818546,21.56289222,242.7879498,1.190951301,11.56259986,3.009071191,0.3096884651,0.7173545085,5,6
505,13,812,0.9975429975,814,local-mutate,1,8000,3.285209382,18.14939172,8.579688854,22.97201245,256,0.1272395942,13.9086026,3.276563579,0.3692500227,0.9073216905,5,6
505,14,808,0.9926289926,814,local-mutate,1,8000,4.559556176,16.77259246,9.264219202,24.80225782,256,1.816559079,8.002965243,4.483065235,0.3978309578,0.724201207,4,6
505,15,808,0.9926289926,814,local-mutate,1,6427.970149,1.75011959,18.08612547,11.71252754,20.44461224,186.7271418,1.773150283,11.83675542,6.084822043,0.453635939,0.7152878149,4,5
505,16,799,0.9815724816,814,rf-surrogate,1,7326.787969,4.381618734,16.44960833,12.60669912,26.29225105,256,1.749479087,14.2407079,3.660948408,0.4187415832,0.6075102416,3,4
505,17,814,1,814,rf-surrogate,1,7326.91728,4.465647623,16.92268277,14.1009473,26.68773569,256,2,14.30366078,4.747235221,0.4566532045,0.5756053777,4,5
505,18,805,0.9889434889,814,rf-surrogate,1,8000,4.31413424,14.68359679,10.14057146,27.70967897,256,1.139568572,16,4.343100879,0.4280970035,0.4482630539,3,5
