benchmark,trial_index,average_time,normalized_time,seed_time,proposal_kind,return_code,bw_scale,ipc_scale,mpki_scale,llc_mpki_scale,mem_bound_scale,queue_scale,dup_rate_scale,max_dup_scale,dtlb_mpki_scale,bias,score_margin,consecutive_votes_required,consecutive_votes_required_weak
bc_twitter,1,13.77886,1,13.77886,seed,0,2500,1.35,2.6,2.1,32,40,0.14,2.6,0.9,-0.02,0.16,2,3
bc_twitter,2,15.64886,1.135715146,13.77886,local-mutate,0,3093.291137,1.094573727,3.296444367,1.665975536,35.9728494,47.65237026,0.07950898409,1.847690512,0.8860152892,-0.02417977819,0.1778068415,1,3
bc_twitter,3,13.47888,0.9782289681,13.77886,local-mutate,0,2158.030511,1.122775496,2.199035778,1.68309787,28.78429308,31.43591882,0.1008648414,2.696040775,1.105125233,-0.02126016466,0.1433192539,3,4
bc_twitter,4,13.88412,1.007639239,13.77886,local-mutate,0,1511.299151,1.307056977,1.4752416,1.703737382,25.05012283,33.24858483,0.1343079529,2.901839391,1.387095867,-0.02160485998,0.1331660603,4,5
bc_twitter,5,13.36918,0.9702674967,13.77886,local-mutate,0,1959.386845,0.817546441,1.960272,1.242072177,21.67809212,28.4049685,0.07375991888,2.46875263,1.366847392,-0.02356752454,0.1009384739,3,4
bc_twitter,6,13.70967,0.9949785396,13.77886,global-random,0,7489.824989,4.010631521,16.87711254,10.4872483,23.36717535,250.7865681,1.232737118,13.29099065,4.480860631,0.4072573668,0.809379871,4,5
bc_twitter,7,14.36609,1.042618185,13.77886,local-mutate,0,1731.604139,0.8054619846,1.878446031,1.399193506,20.20507453,30.8052241,0.03944445541,2.834031119,1.355412289,-0.02136593483,0.1162293311,4,5
bc_twitter,8,13.8841,1.007637787,13.77886,global-random,0,3262.311458,0.4108315219,12.88800083,9.512887046,36.50080753,148.1351558,1.412802037,4.450363414,2.190073192,1.68810103,0.8293768129,2,3
bc_twitter,9,14.48273,1.051083326,13.77886,local-mutate,0,1788.841892,0.8599342117,1.709323728,1.582882421,25.90193141,35.46753787,0.05550091378,2.449634646,1.151915528,-0.02669681677,0.08588439189,4,5
bc_twitter,10,13.30695,0.9657511579,13.77886,global-random,0,4538.768007,3.915351306,5.298127661,17.50672306,47.36689695,200.5173705,1.328116206,7.670423822,8.493265259,-0.3243045941,0.7814917028,1,3
bc_twitter,11,14.53824,1.055111961,13.77886,local-mutate,0,5439.083664,3.3762937,6.361309274,20,59.77867715,206.1969835,1.305644378,3.046841195,9.855840591,-0.3240661679,0.7321221831,1,3
bc_twitter,12,13.0474,0.9469143311,13.77886,local-mutate,0,6114.874046,4.474002211,5.882855312,20,62.00905648,218.4177431,0.870157786,6.374928952,5.630470262,-0.2749320721,0.6142297791,1,3
bc_twitter,13,14.65495,1.063582183,13.77886,global-random,0,4862.124681,3.648749829,10.56985422,8.064775056,53.33216688,246.9125219,1.451568023,3.895434986,0.4776242559,-0.5630070114,0.4274272138,1,3
